요구사항 ID,구현 유무,기능ID,기능명,디자인 보유 여부,상세설명,선택 데이터,요구사항명,페이지,필수 데이터
EDT-02,✅,EDT-02-03,연결선 스타일 변경,YES,"연결선의 스타일(직선, 곡선, 꿔인선)을 변경한다.",,연결선(Edge) 관리,,"연결선 ID, 스타일 유형"
WS-03,❌,WS-03_04,노드 삭제 이벤트 발행,,노드 삭제 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 노드 ID"
EDT-01,⚠️,EDT-01-07,노드 AI 자동 생성,YES,Init 데이터를 기반으로 AI가 노드를 자동으로 생성한다.,,노드(Node) 관리,,"로드맵 ID, Init 데이터 ID"
MEM-01,⚠️,MEM-01-05,소셜 로그인 (Google),YES,Google OAuth2.0을 통해 계정을 생성하거나 로그인한다.,,사용자 인증,,Google OAuth 토큰
EDT-01,✅,EDT-01_04,노드 삭제,YES,노드를 삭제한다. 연결된 엣지도 함께 삭제된다.,,노드 관리,,노드 ID
EDT-04,✅,EDT-04_01,텍스트 요소 생성,YES,캔버스에 독립적인 텍스트 요소를 생성한다.,,텍스트/이미지 관리,,"로드맵 ID, 위치, 텍스트 내용"
EDT-01,✅,EDT-01_05,노드 이동,YES,노드를 캔버스 내 다른 위치로 드래그하여 이동한다.,,노드 관리,,"노드 ID, 새 위치(x,y)"
MEM-01,⚠️,MEM-01_01,회원가입,YES,이메일/비밀번호 또는 소셜 로그인(Google)을 통해 신규 계정을 생성한다. 이메일 인증을 통해 계정을 활성화한다.,,사용자 인증,,"이메일, 비밀번호, 이름"
MAP-02,❌,MAP-02-03,문서 삭제,YES,로드맵 설명 문서를 삭제한다.,,로드맵 문서(Document) 관리,,로드맵 ID
WS-04,❌,WS-04_05,코멘트 수신 처리,,새 코멘트/답글을 수신하여 UI에 표시한다.,,메시지 수신 처리,,코멘트 데이터
KEY-01,❌,KEY-01_04,빠른 연결,YES,L키로 빠르게 연결선을 생성한다.,,단축키 관리,,없음
EDT-03,✅,EDT-03-01,섹션 생성,YES,여러 노드를 그룹화하는 섹션을 생성한다.,,섹션(Section) 관리,,"로드맵 ID, 섹션명, 영역 좌표"
EDT-01,❌,EDT-01_07,노드 크기 조절,NO,"노드의 크기(width, height)를 조절한다.",,노드 관리,,"노드 ID, 새 크기"
NTF-01,❌,NTF-01_02,알림 읽음 처리,NO,알림을 읽음 처리한다.,,알림 관리,,알림 ID
EDT-06,❌,EDT-06_10,그룹 해제,NO,그룹화된 요소들을 개별 요소로 분리한다.,,선택 및 편집,,그룹 ID
PRS-01,❌,PRS-01_01,프레젠테이션 모드,DON'T KNOW,[삭제] 프레젠테이션 기능 제거.,,프레젠테이션 기능,,로드맵 ID
EDT-06,❌,EDT-06_06,잘라내기,YES,선택된 요소를 잘라낸다. (Ctrl+X),,선택 및 편집,,요소 ID 목록
WS-04,❌,WS-04_03,선택 상태 수신 처리,,다른 사용자의 선택 상태를 수신하여 테두리/라벨로 표시한다.,,메시지 수신 처리,,"사용자 ID, 선택된 요소 목록"
DIR-01,⚠️,DIR-01_02,디렉토리 조회,YES,디렉토리 내 하위 디렉토리 및 로드맵 목록을 조회한다.,,디렉토리 관리,My Roadmaps,디렉토리 ID
MAP-01,❌,MAP-01-06,로드맵 이동,YES,로드맵을 다른 디렉토리/팀/조직으로 이동한다.,,로드맵 관리,,"로드맵 ID, 이동 대상 위치"
RDM-03,❌,RDM-03_01,Init 데이터 조회,YES,"AI 학습용 Init 데이터를 조회한다. (비공개, 소유자/편집자만 접근 가능)",,로드맵 Init 관리,,로드맵 ID
EDT-06,❌,EDT-06_11,찾기/바꾸기,YES,로드맵 내 텍스트를 검색하고 선택적으로 바꾼다.,,선택 및 편집,,"로드맵 ID, 검색어"
MEM-01,⚠️,MEM-01_04,비밀번호 재설정,YES,"이메일로 비밀번호 재설정 링크를 발송하고, 링크를 통해 새 비밀번호를 설정한다.",,사용자 인증,,이메일
EDT-01,✅,EDT-01-14,노드 간격 균등 배치,YES,선택한 노드들 간격을 동일하게 배치한다.,,노드(Node) 관리,,노드 ID 목록
DIR-01,❌,DIR-01_03,디렉토리 수정,YES,"디렉토리명, 설명 등을 수정한다.",,디렉토리 관리,My Roadmaps,디렉토리 ID
EDT-05,❌,EDT-05_07,다크모드/라이트모드 전환,YES,에디터 테마를 다크모드 또는 라이트모드로 전환한다.,,캔버스 네비게이션,,"로드맵 ID, 테마 설정"
EDT-04,❌,EDT-04_03,이미지 요소 생성,NO,캔버스에 이미지를 업로드하여 배치한다.,,텍스트/이미지 관리,,"로드맵 ID, 위치, 이미지 파일"
WS-03,❌,WS-03_05,연결선 생성 이벤트 발행,,연결선 생성 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 연결선 데이터"
WS-05,❌,WS-05_03,접속자 목록 동기화,,현재 로드맵에 접속한 사용자 목록을 동기화한다.,,Presence(접속 상태),,로드맵 ID
MAP-01,⚠️,MAP-01-01,로드맵 생성,YES,새로운 로드맵을 생성한다. 빈 로드맵 또는 AI 자동 생성 중 선택 가능.,,로드맵 관리,,"로드맵 제목, 상위 위치"
EDT-03,✅,EDT-03_04,연결선 스타일 변경,YES,연결선의 형태를 직선/곡선/꿔인선으로 변경한다.,,연결선(Edge) 관리,,"연결선 ID, 스타일 유형"
EDT-01,✅,EDT-01-09,노드 색상 변경,YES,노드의 배경색 또는 테두리 색상을 변경한다.,,노드(Node) 관리,,"노드 ID, 색상값"
EDT-05,✅,EDT-05-02,선택 도구,YES,드래그로 영역을 선택하여 여러 요소를 한 번에 선택한다.,,에디터 기본 기능,,로드맵 ID
DIR-01,❌,DIR-01_04,디렉토리 삭제,YES,디렉토리를 삭제한다. 하위 로드맵은 상위로 이동하거나 함께 삭제한다.,,디렉토리 관리,My Roadmaps,"디렉토리 ID, 하위 항목 처리 방식"
RES-01,❌,RES-01_05,자료 순서 변경,,노드 내 자료의 표시 순서를 변경한다.,,자료(Resource) 관리,,"노드 ID, 새 순서"
MEM-01,⚠️,MEM-01_01,회원가입,YES,이메일/비밀번호 또는 소셜 로그인(GitHub)을 통해 신규 계정을 생성한다. 이메일 인증을 통해 계정을 활성화한다.,,사용자 인증,,"이메일, 비밀번호, 이름"
EDT-05,❌,EDT-05-09,찾기/바꾸기,NO,텍스트를 검색하고 일괄 수정한다.,,에디터 기본 기능,,"로드맵 ID, 검색어, 바꿀 텍스트"
WS-02,❌,WS-02_06,구독 해제,,지정된 채널의 구독을 해제한다.,,구독(Subscribe) 관리,,구독 ID
DOC-01,❌,DOC-01_01,문서 조회,YES,로드맵의 README 문서를 조회한다.,,문서(Document) 관리,,로드맵 ID
MAP-01,❌,MAP-01-07,로드맵 공유 링크 생성,NO,로드맵을 외부에 공유할 수 있는 링크를 생성한다.,,로드맵 관리,,로드맵 ID
EDT-05,❌,EDT-05_04,미니맵,YES,전체 로드맵을 축소하여 보여주는 미니맵을 표시한다.,,캔버스 네비게이션,,로드맵 ID
EDT-04,✅,EDT-04-02,자료 조회,YES,노드에 연결된 자료 목록을 조회한다.,,자료(Resource) 관리,,노드 ID
EDT-03,✅,EDT-03-02,섹션 수정,YES,"섹션의 제목, 색상, 크기를 수정한다.",,섹션(Section) 관리,,섹션 ID
RDM-02,❌,RDM-02_03,로드맵 권한 수정,YES,사용자의 로드맵 권한을 변경한다.,,로드맵 권한 관리,,"로드맵 ID, 사용자 ID, 새 권한"
EDT-04,⚠️,EDT-04-06,AI 자료 추천,YES,노드 주제에 맞는 학습 자료를 AI가 자동으로 추천한다.,,자료(Resource) 관리,,노드 ID
EDT-01,✅,EDT-01_06,노드 복제,YES,노드를 복제하여 동일한 속성의 새 노드를 생성한다.,,노드 관리,,노드 ID
WS-05,❌,WS-05_04,비활성 상태 감지,,사용자가 비활성 상태(away)인지 감지한다.,,Presence(접속 상태),,"사용자 ID, 활동 상태"
WS-01,❌,WS-01_04,하트비트,,핑/퐁으로 연결 상태를 유지한다.,,웹소켓 연결 관리,,연결 ID
CMT-01,❌,CMT-01_01,코멘트 작성,NO,노드 또는 캔버스 특정 위치에 코멘트를 작성한다.,,코멘트 관리,Viewer,"로드맵 ID, 위치 또는 노드 ID, 코멘트 내용"
WS-07,❌,WS-07_02,커서 이벤트 쓰로틀링,,커서 이벤트를 50ms 간격으로 쓰로틀링한다.,,성능/최적화,,커서 이벤트
EDT-01,✅,EDT-01-06,노드 복제,YES,노드를 복제하여 새로운 노드를 생성한다. (Ctrl+D 또는 Alt+드래그),,노드(Node) 관리,,노드 ID
EDT-03,✅,EDT-03_06,연결선 라벨 추가,YES,연결선에 설명 라벨을 추가한다.,,연결선(Edge) 관리,,"연결선 ID, 라벨 텍스트"
NTF-01,❌,NTF-01_03,알림 설정,NO,"알림 수신 설정(이메일, 푸시)을 관리한다.",,알림 관리,,사용자 ID
RES-01,✅,RES-01_03,자료 수정,,"자료의 제목, URL, 설명 등을 수정한다.",,자료(Resource) 관리,,자료 ID
EDT-03,✅,EDT-03_05,연결선 방향 화살표,YES,연결선에 방향 화살표(단방향/양방향/없음)를 설정한다.,,연결선(Edge) 관리,,"연결선 ID, 화살표 유형"
KEY-01,❌,KEY-01_02,단축키 커스텀,NO,사용자 정의 단축키를 설정한다.,,단축키 관리,,단축키 매핑
EXP-01,❌,EXP-01_01,이미지 내보내기,YES,로드맵을 PNG/JPG/SVG 이미지 파일로 내보낸다.,,내보내기/가져오기,,"로드맵 ID, 파일 형식"
MEM-02,❌,MEM-02_02,프로필 수정,YES,"[PRF로 통합] 사용자의 이름, 프로필 이미지, 소속 정보를 수정한다.",,사용자 프로필 관리,,사용자 ID
AI-01,⚠️,AI-01_07,AI 노드 설명 생성,YES,노드 제목을 기반으로 AI가 설명을 자동 생성한다.,,AI 기능,Editor,노드 ID
EDT-02,✅,EDT-02_02,섹션 수정,YES,"섹션의 제목, 색상, 크기를 수정한다.",,섹션 관리,,섹션 ID
EDT-06,✅,EDT-06_01,단일 요소 선택,YES,클릭으로 노드/섹션/연결선 등 단일 요소를 선택한다.,,선택 및 편집,,요소 ID
EDT-02,✅,EDT-02-02,연결선 삭제,YES,노드 간 연결선을 삭제한다.,,연결선(Edge) 관리,,연결선 ID
MEM-01,⚠️,MEM-01_04,비밀번호 재설정,YES,"이메일로 비밀번호 재설정 링크를 발송하고, 링크를 통해 새 비밀번호를 설정한다.",,사용자 인증,,이메일
EXP-01,❌,EXP-01_03,JSON 내보내기,YES,로드맵 데이터를 JSON 형식으로 내보낸다. (백업용),필요없음,내보내기/가져오기,,로드맵 ID
EDT-01,✅,EDT-01_11,노드 간격 균등 배치,YES,선택된 여러 노드의 간격을 균등하게 배치한다.,,노드 관리,,"노드 ID 목록, 방향(수평/수직)"
MEM-02,❌,MEM-02_03,계정 삭제,YES,"[PRF로 통합] 사용자의 이름, 프로필 이미지, 소속 정보를 수정한다.",,사용자 프로필 관리,,"사용자 ID, 비밀번호 확인"
EDT-03,✅,EDT-03-04,섹션 크기 조절,YES,섹션의 영역 크기를 조절한다.,,섹션(Section) 관리,,"섹션 ID, 새 크기"
WS-03,❌,WS-03_07,섹션 변경 이벤트 발행,,섹션 생성/수정/삭제 시 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 섹션 데이터"
MAP-01,❌,MAP-01-08,로드맵 썸네일 설정,YES,로드맵 썸네일을 직접 업로드하거나 로드맵 전체 스냅샷으로 자동 생성한다.,,로드맵 관리,,로드맵 ID
EDT-06,❌,EDT-06_09,그룹화,NO,선택된 여러 요소를 그룹화한다. (섹션과 별개),,선택 및 편집,,요소 ID 목록
EDT-05,❌,EDT-05-08,그룹 해제,NO,그룹을 해제하여 개별 요소로 분리한다.,,에디터 기본 기능,,그룹 ID
MAP-03,❌,MAP-03-01,Init 파일 업로드,YES,AI가 노드를 자동 생성하기 위한 교육과정/커리큘럼 문서를 업로드한다.,,Init(AI 학습 데이터) 관리,,"로드맵 ID, 파일(PDF, 문서 등)"
RDM-02,❌,RDM-02_04,로드맵 권한 제거,YES,사용자의 로드맵 접근 권한을 제거한다.,,로드맵 권한 관리,,"로드맵 ID, 사용자 ID"
MEM-01,❌,MEM-01_03,로그아웃,YES,현재 세션을 종료하고 토큰을 무효화한다.,,사용자 인증,,액세스 토큰
WS-03,❌,WS-03_09,커서 위치 이벤트 발행,,마우스 커서 위치를 다른 사용자에게 발행한다. (throttle ~50ms),,메시지 발행(Publish),,"로드맵 ID, 커서 위치(x,y)"
CMT-01,❌,CMT-01_06,코멘트 해결 표시,YES,코멘트를 해결됨 상태로 표시한다.,,코멘트 관리,Viewer,코멘트 ID
EDT-04,✅,EDT-04-03,자료 수정,YES,"자료의 제목, URL, 설명 등을 수정한다.",,자료(Resource) 관리,,자료 ID
EDT-02,✅,EDT-02-07,연결선 방향 화살표,YES,화살표 스타일(단방향/양방향/없음)을 설정한다.,,연결선(Edge) 관리,,"연결선 ID, 화살표 유형"
EDT-02,✅,EDT-02_04,섹션 이동,YES,섹션을 이동한다. 내부 노드도 함께 이동한다.,,섹션 관리,,"섹션 ID, 새 위치"
EDT-01,✅,EDT-01_02,노드 조회,YES,"노드의 상세 정보(제목, 설명, 자료, 위치 등)를 조회한다.",,노드 관리,,노드 ID
DIR-01,⚠️,DIR-01_01,디렉토리 생성,YES,로드맵을 그룹화하기 위한 디렉토리(폴더)를 생성한다.,,디렉토리 관리,My Roadmaps,"디렉토리명, 상위 위치(Draft/조직/팀)"
EDT-01,❌,EDT-01-11,노드 잠금,YES,노드를 잠금하여 실수로 이동/편집되는 것을 방지한다.,,노드(Node) 관리,,"노드 ID, 잠금 여부"
EDT-01,❌,EDT-01-16,노드 상태 표시,YES,노드의 학습 상태(완료/진행중/미시작)를 표시한다.,,노드(Node) 관리,,"노드 ID, 상태값"
WS-03,❌,WS-03_02,노드 수정 이벤트 발행,,노드 수정 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 노드 ID, 변경 데이터"
WS-04,❌,WS-04_02,커서 위치 수신 처리,,다른 사용자의 커서 위치를 수신하여 캔버스에 렌더링한다.,,메시지 수신 처리,,"사용자 ID, 커서 위치"
EDT-06,✅,EDT-06_12,복제 후 이동,YES,Alt+드래그로 요소를 복제하면서 이동한다.,,선택 및 편집,,요소 ID
RDM-02,❌,RDM-02_01,문서(README) 조회,YES,로드맵의 문서(README)를 조회한다. 마크다운 형식 지원.,,로드맵 문서 관리,,로드맵 ID
EDT-06,✅,EDT-06_05,복사/붙여넣기,YES,"선택된 요소를 복사하고 붙여넣는다. (Ctrl+C, Ctrl+V)",,선택 및 편집,,요소 ID 목록
WS-06,❌,WS-06_03,편집 중 표시,,다른 사용자가 편집 중인 요소에 잠금 표시를 한다.,,충돌 처리,,"요소 ID, 편집자 정보"
EDT-04,✅,EDT-04-04,자료 삭제,YES,노드에서 자료를 삭제한다.,,자료(Resource) 관리,,자료 ID
EDT-04,✅,EDT-04_02,텍스트 수정,YES,"텍스트 내용, 글꼴, 크기, 색상을 수정한다.",,텍스트/이미지 관리,,텍스트 ID
EXP-01,❌,EXP-01_04,JSON 가져오기,NO,JSON 파일로 로드맵 데이터를 가져온다. (복원용),필요없음,내보내기/가져오기,,JSON 파일
SRC-01,⚠️,SRC-01_03,공개 로드맵 탐색,,공개된 로드맵을 탐색하고 검색한다.,,검색 기능,,"검색어, 필터"
EDT-03,✅,EDT-03_01,연결선 생성,YES,두 노드 간에 학습 순서를 나타내는 연결선(Edge)을 생성한다.,,연결선(Edge) 관리,,"시작 노드 ID, 도착 노드 ID"
EDT-03,✅,EDT-03-03,섹션 삭제,YES,섹션을 삭제한다. 내부 노드는 유지된다.,,섹션(Section) 관리,,섹션 ID
EDT-03,✅,EDT-03_02,연결선 수정,YES,"연결선의 스타일, 색상, 두께, 라벨을 수정한다.",,연결선(Edge) 관리,,연결선 ID
EDT-05,❌,EDT-05-06,같은 타입 전체 선택,NO,"모든 노드 선택, 모든 텍스트 선택 등 타입별 선택.",,에디터 기본 기능,,"로드맵 ID, 타입"
PRS-01,❌,PRS-01_03,경로 하이라이트,NO,[삭제] 특정 학습 경로를 강조하여 표시한다.,,프레젠테이션 기능,,"시작 노드 ID, 끝 노드 ID"
MAP-03,❌,MAP-03-03,Init 데이터 조회,YES,업로드된 Init 데이터 목록 및 내용을 조회한다. (로드맵 소유자만 접근 가능),,Init(AI 학습 데이터) 관리,,로드맵 ID
EDT-05,✅,EDT-05-04,복사/붙여넣기,YES,선택한 요소를 복사하고 붙여넣는다. (Ctrl+C/V),,에디터 기본 기능,,선택된 요소 ID 목록
MAP-01,❌,MAP-01-05,로드맵 복제,YES,기존 로드맵을 복제하여 새로운 로드맵을 생성한다.,,로드맵 관리,,"원본 로드맵 ID, 복제 위치"
WS-02,❌,WS-02_03,코멘트 채널 구독,,/topic/roadmap/{roadmapId}/comments 채널을 구독한다.,,구독(Subscribe) 관리,,로드맵 ID
MAP-02,❌,MAP-02-02,문서 작성/수정,YES,마크다운 형식으로 로드맵 설명 문서를 작성하거나 수정한다.,,로드맵 문서(Document) 관리,,"로드맵 ID, 문서 내용(마크다운)"
WS-04,❌,WS-04_04,접속자 변경 수신 처리,,사용자 입장/퇴장 시 UI를 업데이트한다.,,메시지 수신 처리,,사용자 정보
EDT-04,✅,EDT-04-01,자료 추가,YES,"노드에 학습 자료(링크, 영상 등)를 추가한다.",,자료(Resource) 관리,,"노드 ID, 자료 URL 또는 파일"
EDT-01,❌,EDT-01_08,노드 잠금,YES,노드를 잠금하여 실수로 인한 수정/이동을 방지한다.,,노드 관리,,노드 ID
EDT-01,❌,EDT-01_09,노드 상태 표시,YES,노드에 학습 상태(완료/진행중/미시작)를 표시한다.,,노드 관리,,"노드 ID, 상태 값"
WS-02,❌,WS-02_02,커서 채널 구독,,/topic/roadmap/{roadmapId}/cursors 채널을 구독한다.,,구독(Subscribe) 관리,,로드맵 ID
CMT-01,❌,CMT-01_03,코멘트 수정,YES,작성한 코멘트를 수정한다.,,코멘트 관리,Viewer,코멘트 ID
EDT-05,✅,EDT-05-03,실행 취소/다시 실행,YES,Ctrl+Z/Ctrl+Shift+Z로 작업을 취소하거나 다시 실행한다.,,에디터 기본 기능,,로드맵 ID
EDT-04,❌,EDT-04_04,이미지 수정,NO,이미지 크기 및 위치를 수정한다.,필요없음,텍스트/이미지 관리,,이미지 ID
EDT-01,✅,EDT-01-13,노드 정렬,YES,선택한 노드들을 좌/우/상/하/중앙 정렬한다.,,노드(Node) 관리,,"노드 ID 목록, 정렬 방향"
MAP-01,❌,MAP-01-04,로드맵 삭제,YES,"로드맵 및 하위 모든 노드, 자료를 삭제한다.",,로드맵 관리,,로드맵 ID
KEY-01,❌,KEY-01_03,빠른 노드 생성,YES,N키로 빠르게 노드를 생성한다.,,단축키 관리,,없음
RES-01,✅,RES-01_02,자료 조회,,노드에 등록된 자료 목록을 조회한다.,,자료(Resource) 관리,,노드 ID
RDM-03,❌,RDM-03_02,버전 복원,NO,특정 시점의 로드맵 버전으로 복원한다.,,로드맵 버전 관리,,"로드맵 ID, 버전 ID"
WS-07,❌,WS-07_05,오프라인 큐잉,,오프라인 상태에서 작업을 큐에 저장하고 재연결 시 전송한다.,,성능/최적화,,작업 데이터
EDT-03,✅,EDT-03-05,섹션 이동,YES,섹션을 다른 위치로 이동한다. 내부 노드도 함께 이동.,,섹션(Section) 관리,,"섹션 ID, 새 위치"
WS-02,❌,WS-02_05,개인 채널 구독,,/user/queue/notifications 개인 채널을 구독한다.,,구독(Subscribe) 관리,,사용자 ID
MEM-01,❌,MEM-01_03,로그아웃,YES,현재 세션을 종료하고 토큰을 무효화한다.,,사용자 인증,,액세스 토큰
EDT-01,✅,EDT-01_03,노드 수정,YES,"노드의 제목, 설명, 색상, 스타일을 수정한다.",,노드 관리,,노드 ID
EDT-02,✅,EDT-02-04,연결선 색상 변경,YES,연결선별 색상을 커스텀한다.,,연결선(Edge) 관리,,"연결선 ID, 색상값"
CMT-01,❌,CMT-01_04,코멘트 삭제,YES,코멘트를 삭제한다.,,코멘트 관리,Viewer,코멘트 ID
MEM-01,❌,MEM-01-06,토큰 갱신,YES,만료된 액세스 토큰을 리프레시 토큰으로 갱신한다.,,사용자 인증,,리프레시 토큰
RDM-03,❌,RDM-03_03,버전 비교,NO,두 버전 간의 차이점을 비교하여 표시한다.,,로드맵 버전 관리,,"로드맵 ID, 버전 ID 2개"
WS-07,❌,WS-07_03,노드 이동 디바운싱,,노드 이동 이벤트를 디바운싱하여 네트워크 부하를 줄인다.,,성능/최적화,,노드 이동 이벤트
EDT-02,✅,EDT-02_05,섹션 크기 조절,YES,섹션의 크기를 조절한다.,,섹션 관리,,"섹션 ID, 새 크기"
WS-03,❌,WS-03_10,선택 상태 이벤트 발행,,요소 선택 상태를 다른 사용자에게 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 선택된 요소 목록"
EDT-06,✅,EDT-06_07,실행 취소,YES,마지막 작업을 취소한다. (Ctrl+Z),,선택 및 편집,,로드맵 ID
WS-06,❌,WS-06_01,낙관적 잠금,,버전 번호 비교로 충돌을 감지한다.,,충돌 처리,,"요소 ID, 버전 번호"
EDT-05,❌,EDT-05-07,그룹화,NO,여러 요소를 하나의 그룹으로 묶는다. (섹션과 별개),,에디터 기본 기능,,요소 ID 목록
EDT-05,✅,EDT-05-05,전체 선택,YES,Ctrl+A로 모든 요소를 선택한다.,,에디터 기본 기능,,로드맵 ID
AI-01,⚠️,AI-01_05,AI 로드맵 자동 생성,YES,키워드 입력 시 AI가 관련 로드맵을 자동으로 생성한다.,,AI 기능,Editor,"키워드, 상위 위치"
WS-01,❌,WS-01_05,연결 상태 표시,,연결됨/재연결 중/오프라인 상태를 UI에 표시한다.,,웹소켓 연결 관리,,연결 상태
EDT-01,❌,EDT-01_12,노드 레이어 순서 변경,YES,노드의 z-index를 변경하여 앞으로/뒤로 보낸다.,,노드 관리,,"노드 ID, 레이어 명령"
KEY-01,❌,KEY-01_01,단축키 목록 보기,NO,에디터 단축키 치트시트를 표시한다.,,단축키 관리,,없음
