요구사항 ID,구현 유무,기능ID,기능명,디자인 보유 여부,상세설명,선택 데이터,요구사항명,페이지,필수 데이터
EDT-06,✅,EDT-06_08,다시 실행,YES,취소한 작업을 다시 실행한다. (Ctrl+Y),,선택 및 편집,,로드맵 ID
RES-01,✅,RES-01_04,자료 삭제,,노드에서 자료를 삭제한다.,,자료(Resource) 관리,,자료 ID
EDT-06,✅,EDT-06_03,전체 선택,YES,Ctrl+A로 모든 요소를 선택한다.,,선택 및 편집,,로드맵 ID
WS-03,❌,WS-03_03,노드 이동 이벤트 발행,,노드 이동 시 다른 사용자에게 이벤트를 발행한다. (throttle 적용),,메시지 발행(Publish),,"로드맵 ID, 노드 ID, 위치"
WS-02,❌,WS-02_04,접속자 채널 구독,,/topic/roadmap/{roadmapId}/presence 채널을 구독한다.,,구독(Subscribe) 관리,,로드맵 ID
RDM-03,❌,RDM-03_02,Init 데이터 수정,YES,AI 학습용 Init 데이터를 수정한다.,,로드맵 Init 관리,,"로드맵 ID, Init 데이터"
AI-01,⚠️,AI-01_04,AI 자료 추천,YES,노드 주제에 맞는 학습 자료를 AI가 추천한다.,,AI 기능,Viewer,노드 ID
EDT-02,✅,EDT-02_01,섹션 생성,YES,노드를 그룹화하는 섹션 영역을 생성한다.,,섹션 관리,,"로드맵 ID, 섹션명, 위치, 크기"
MEM-02,❌,MEM-02-04,프로필 이미지 업로드,YES,"[PRF로 통합] 사용자의 이름, 프로필 이미지, 소속 정보를 수정한다.",,사용자 프로필 관리,,"사용자 ID, 이미지 파일"
EXP-01,❌,EXP-01_02,PDF 내보내기,YES,로드맵을 PDF 파일로 내보낸다.,필요없음,내보내기/가져오기,,로드맵 ID
EDT-02,✅,EDT-02-06,연결선 라벨,YES,연결선 위에 텍스트 라벨을 추가한다.,,연결선(Edge) 관리,,"연결선 ID, 라벨 텍스트"
SRC-01,❌,SRC-01_02,로드맵 내 검색,,"로드맵 내에서 노드, 텍스트 등을 검색한다.",,검색 기능,,"로드맵 ID, 검색어"
EDT-02,✅,EDT-02_03,섹션 삭제,YES,섹션을 삭제한다. 내부 노드는 유지된다.,,섹션 관리,,섹션 ID
MEM-02,⚠️,MEM-02_01,프로필 조회,YES,"[PRF로 통합] 사용자의 이름, 프로필 이미지, 소속 정보를 수정한다.",,사용자 프로필 관리,,사용자 ID
EDT-05,✅,EDT-05_02,캔버스 줌 인/아웃,YES,캔버스를 확대/축소한다. 휘 스크롤 또는 핀치 제스처로 조작.,,캔버스 네비게이션,,"로드맵 ID, 줌 레벨"
RDM-02,❌,RDM-02_02,로드맵 권한 부여,YES,특정 사용자에게 로드맵 접근 권한(View Only/Can Edit)을 부여한다.,,로드맵 권한 관리,,"로드맵 ID, 사용자 ID, 권한 유형"
MEM-01,⚠️,MEM-01_02,로그인,YES,이메일/비밀번호 또는 소셜 로그인으로 시스템에 접속한다. JWT 토큰 기반 인증을 사용한다.,,사용자 인증,,"이메일, 비밀번호 (또는 OAuth 토큰)"
EDT-06,✅,EDT-06_02,다중 선택,YES,Shift+클릭 또는 드래그 선택으로 여러 요소를 동시 선택한다.,,선택 및 편집,,요소 ID 목록
WS-05,❌,WS-05_01,입장 알림,,사용자가 로드맵에 입장 시 다른 사용자에게 알림을 보낸다.,,Presence(접속 상태),,"로드맵 ID, 사용자 정보"
EDT-03,❌,EDT-03_07,연결선 애니메이션,YES,학습 흐름을 표시하는 애니메이션 효과를 연결선에 적용한다.,,연결선(Edge) 관리,,"연결선 ID, 애니메이션 설정"
MAP-03,❌,MAP-03-02,Init 폼 입력,YES,폼 형태로 교육과정 정보를 직접 입력한다.,,Init(AI 학습 데이터) 관리,,"로드맵 ID, 교육과정 텍스트 데이터"
MAP-02,❌,MAP-02-01,문서 조회,YES,로드맵 전체를 설명하는 README 문서를 조회한다.,,로드맵 문서(Document) 관리,,로드맵 ID
WS-05,❌,WS-05_02,퇴장 알림,,사용자가 로드맵에서 퇴장 시 다른 사용자에게 알림을 보낸다.,,Presence(접속 상태),,"로드맵 ID, 사용자 ID"
EDT-02,✅,EDT-02-01,연결선 생성,YES,두 노드를 연결하는 선을 생성한다.,,연결선(Edge) 관리,,"시작 노드 ID, 끝 노드 ID"
WS-02,❌,WS-02_01,로드맵 채널 구독,,/topic/roadmap/{roadmapId} 채널을 구독한다.,,구독(Subscribe) 관리,,로드맵 ID
DIR-01,❌,DIR-01_05,디렉토리 이동,YES,디렉토리를 다른 위치로 이동한다.,,디렉토리 관리,,"디렉토리 ID, 이동 대상 위치"
EDT-01,❌,EDT-01-08,고아 노드 관리,YES,연결선 없이 독립적으로 떠다니는 노드(Orphan Node)를 관리한다.,,노드(Node) 관리,,로드맵 ID
EXP-01,❌,EXP-01_05,마크다운 내보내기,YES,로드맵 구조를 마크다운 형식으로 내보낸다.,필요없음,내보내기/가져오기,,로드맵 ID
KEY-01,❌,KEY-01_05,빠른 텍스트,YES,T키로 빠르게 텍스트를 생성한다.,,단축키 관리,,없음
WS-01,❌,WS-01_03,재연결 처리,,연결 끊김 시 지수 백오프로 재연결을 시도한다.,,웹소켓 연결 관리,,연결 ID
EDT-02,❌,EDT-02-08,연결선 애니메이션,NO,학습 흐름 표시용 애니메이션 효과를 적용한다.,,연결선(Edge) 관리,,"연결선 ID, 애니메이션 여부"
CMT-01,❌,CMT-01_05,코멘트 답글,NO,코멘트에 답글을 작성한다. (쓰레드 형식),,코멘트 관리,Viewer,"상위 코멘트 ID, 답글 내용"
WS-03,❌,WS-03_06,연결선 삭제 이벤트 발행,,연결선 삭제 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 연결선 ID"
EDT-05,✅,EDT-05-01,캔버스 팬/줄,YES,캔버스를 팬(마우스 드래그) 및 줄(휘트스크롤)한다.,,에디터 기본 기능,,로드맵 ID
WS-06,❌,WS-06_05,수동 충돌 해결,,자동 병합 실패 시 사용자가 수동으로 충돌을 해결한다.,,충돌 처리,,"요소 ID, 선택된 버전"
EDT-02,✅,EDT-02-05,연결선 두께 변경,YES,연결선의 굵기를 조절한다.,,연결선(Edge) 관리,,"연결선 ID, 두께값"
WS-06,❌,WS-06_04,자동 병합,,OT/CRDT 알고리즘으로 동시 편집을 자동 병합한다.,,충돌 처리,,"요소 ID, 작업 데이터"
MEM-01,⚠️,MEM-01-04,비밀번호 재설정,YES,"이메일로 비밀번호 재설정 링크를 발송하고, 링크를 통해 새 비밀번호를 설정한다.",,사용자 인증,,이메일
EDT-04,❌,EDT-04-05,자료 순서 변경,NO,노드 내 자료의 표시 순서를 변경한다.,,자료(Resource) 관리,,"노드 ID, 자료 ID 순서 목록"
WS-07,❌,WS-07_04,뷰포트 기반 필터링,,현재 뷰포트 영역의 이벤트만 수신한다.,,성능/최적화,,뷰포트 영역
WS-01,❌,WS-01_02,연결 해제,,STOMP 웹소켓 연결을 종료한다.,,웹소켓 연결 관리,,연결 ID
WS-07,❌,WS-07_01,메시지 배치 처리,,여러 메시지를 모아서 한 번에 처리한다.,,성능/최적화,,메시지 목록
RES-01,✅,RES-01_01,자료 등록,,"노드에 학습 자료(URL, 파일 등)를 등록한다.",,자료(Resource) 관리,,"노드 ID, 자료 정보"
EDT-03,✅,EDT-03_03,연결선 삭제,YES,노드 간의 연결선을 삭제한다.,,연결선(Edge) 관리,,연결선 ID
ACC-01,❌,ACC-01_02,스크린 리더 지원,YES,스크린 리더로 에디터 요소를 읽을 수 있다.,,접근성,X,없음
DOC-01,❌,DOC-01_02,문서 수정,YES,로드맵의 README 문서를 수정한다. 마크다운 지원.,,문서(Document) 관리,,"로드맵 ID, 문서 내용"
EDT-01,✅,EDT-01_10,노드 정렬,YES,선택된 여러 노드를 좌/우/상/하/중앙 정렬한다.,,노드 관리,,"노드 ID 목록, 정렬 방향"
EDT-05,❌,EDT-05_05,그리드 표시/숨기기,YES,캔버스에 정렬 그리드를 표시하거나 숨긴다.,,캔버스 네비게이션,,로드맵 ID
MAP-01,⚠️,MAP-01-03,로드맵 정보 수정,YES,"로드맵의 제목, 설명, 썸네일, 태그 등 메타데이터를 수정한다.",,로드맵 관리,,로드맵 ID
EDT-01,✅,EDT-01_01,노드 생성,YES,캔버스에 새로운 학습 노드를 생성한다. 드래그 또는 더블클릭으로 생성.,,노드 관리,,"로드맵 ID, 위치(x,y)"
NTF-01,❌,NTF-01_01,알림 목록 조회,NO,사용자의 알림 목록을 조회한다.,,알림 관리,,사용자 ID
WS-01,❌,WS-01_01,STOMP 연결,,JWT 인증을 통해 STOMP 웹소켓 연결을 수립한다.,,웹소켓 연결 관리,,JWT 토큰
EDT-01,❌,EDT-01-15,노드 레이어 순서,YES,노드를 앞으로 가져오기/뒤로 보내기 (z-index 조절),,노드(Node) 관리,,"노드 ID, 레이어 순서"
WS-06,❌,WS-06_02,충돌 감지 알림,,동시 편집으로 충돌 발생 시 사용자에게 알림을 표시한다.,,충돌 처리,,"요소 ID, 충돌 상세"
EDT-05,❌,EDT-05_06,스냅 투 그리드,NO,요소 이동 시 그리드에 자동으로 맞춤다.,,캔버스 네비게이션,,로드맵 ID
EDT-06,❌,EDT-06_04,같은 타입 전체 선택,NO,하나를 선택하고 같은 타입(노드/섹션 등) 전체를 선택한다.,,선택 및 편집,,"로드맵 ID, 타입"
SRC-01,⚠️,SRC-01_01,로드맵 검색,,"제목, 설명 등으로 로드맵을 검색한다.",,검색 기능,,검색어
EDT-05,✅,EDT-05_03,줌 레벨 프리셋,YES,"줌 레벨을 50%, 100%, 150%, Fit to Screen 등으로 빠르게 설정한다.",,캔버스 네비게이션,,"로드맵 ID, 프리셋 값"
MAP-01,⚠️,MAP-01-02,로드맵 정보 조회,YES,"로드맵의 메타데이터(제목, 설명, 생성일, 수정일, 소유자, 태그 등)를 조회한다.",,로드맵 관리,,로드맵 ID
MAP-03,❌,MAP-03-04,Init 데이터 삭제,YES,업로드된 Init 데이터를 삭제한다.,,Init(AI 학습 데이터) 관리,,"로드맵 ID, Init 데이터 ID"
MEM-01,⚠️,MEM-01-02,로그인,YES,이메일/비밀번호 또는 소셜 로그인으로 시스템에 접속한다. JWT 토큰 기반 인증을 사용한다.,,사용자 인증,,"이메일, 비밀번호 (또는 OAuth 토큰)"
PRS-01,❌,PRS-01_02,포커스 모드,DON'T KNOW,[삭제] 프레젠테이션 모드를 시작한다.,,프레젠테이션 기능,,노드 ID 목록
RDM-02,❌,RDM-02_01,로드맵 권한 조회,NO,로드맵에 대한 사용자별 권한 목록을 조회한다.,,로드맵 권한 관리,,로드맵 ID
RDM-03,❌,RDM-03_01,로드맵 버전 조회,NO,로드맵의 버전 히스토리 목록을 조회한다.,,로드맵 버전 관리,,로드맵 ID
EDT-05,✅,EDT-05_01,캔버스 팬,YES,캔버스를 드래그하여 뷰포트를 이동한다. (Hand Tool),,캔버스 네비게이션,,로드맵 ID
MEM-01,❌,MEM-01-03,로그아웃,YES,현재 세션을 종료하고 토큰을 무효화한다.,,사용자 인증,,액세스 토큰
MEM-01,⚠️,MEM-01-01,회원가입,YES,이메일/비밀번호 또는 소셜 로그인(Google)을 통해 신규 계정을 생성한다. 이메일 인증을 통해 계정을 활성화한다.,,사용자 인증,,"이메일, 비밀번호, 이름"
WS-04,❌,WS-04_01,노드 변경 수신 처리,,다른 사용자의 노드 변경을 수신하여 로컬 상태에 반영한다.,,메시지 수신 처리,,노드 변경 데이터
FRK-01,❌,FRK-01_03,원본 연결 유지,YES,포크된 로드맵과 원본 로드맵 간 연결 관계를 유지한다.,,포크 기능,,"포크 로드맵 ID, 원본 로드맵 ID"
CMT-01,❌,CMT-01_02,코멘트 조회,NO,로드맵 내 모든 코멘트를 조회한다.,,코멘트 관리,Viewer,로드맵 ID
WS-03,❌,WS-03_08,텍스트/이미지 변경 이벤트 발행,,텍스트/이미지 요소 변경 시 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 요소 데이터"
TRK-01,❌,TRK-01_01,노드 완료 체크,,학습 노드를 완료 상태로 체크한다.,,진행도 관리,,"노드 ID, 사용자 ID"
FLW-02,❌,FLW-02_03,최근 학습 로드맵 표시,YES,최근에 학습한 로드맵을 우선 표시한다.,,팔로우 목록,,사용자 ID
FLW-01,❌,FLW-01_02,로드맵 언팔로우,YES,팔로우한 로드맵을 언팔로우한다.,,팔로우 관리,,"로드맵 ID, 사용자 ID"
WS-03,❌,WS-03_01,노드 생성 이벤트 발행,,노드 생성 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 노드 데이터"
NTF-02,❌,NTF-02_03,알림 삭제,NO,알림을 삭제한다.,,알림 관리,,알림 ID
NTF-01,❌,NTF-01_03,조직 초대 알림,NO,조직(스터디 그룹)에 초대되었을 때 알림을 생성한다.,,알림 생성,,"조직 ID, 초대한 사용자 ID"
ACC-01,❌,ACC-01_01,키보드 네비게이션,YES,키보드만으로 에디터를 조작한다.,,접근성,X,없음
AI-01,⚠️,AI-01_08,RAG 기반 자료 추천,YES,RAG를 활용하여 내부/외부 자료를 검색하고 추천한다. (P1),,학습 자료 추천,,"노드 ID, 검색 쿼리"
FRK-01,❌,FRK-01_01,로드맵 포크,YES,다른 사용자의 로드맵을 포크하여 내 버전으로 복사한다.,,포크 기능,,"원본 로드맵 ID, 사용자 ID"
NTF-01,❌,NTF-01_02,팔로우 알림,NO,내 로드맵이 팔로우되었을 때 알림을 생성한다.,,알림 생성,,"로드맵 ID, 팔로우한 사용자 ID"
NTF-01,❌,NTF-01_01,포크 알림,NO,내 로드맵이 포크되었을 때 알림을 생성한다.,,알림 생성,,"로드맵 ID, 포크한 사용자 ID"
FLW-02,❌,FLW-02_02,팔로우 로드맵 진행률 요약,YES,팔로우한 각 로드맵의 진행률을 요약하여 표시한다.,,팔로우 목록,,사용자 ID
SRC-01,❌,SRC-01_03,정렬 옵션,,"팔로우 수, 포크 수, 최신순, 완주율순 등으로 정렬한다.",,로드맵 검색,,정렬 기준
AI-02,⚠️,AI-02_01,추천 자료 노드에 저장,YES,AI가 추천한 자료를 노드의 첨부 자료로 저장한다.,,자료 관리,Editor,"노드 ID, 자료 URL"
SRC-02,❌,SRC-02_02,최신 로드맵 조회,,최근 공개된 로드맵 목록을 조회한다.,,로드맵 탐색,,페이지네이션
AI-01,❌,AI-01_03,추천 소스 선택,NO,추천 자료 소스를 내부/외부로 선택할 수 있다.,,학습 자료 추천,Viewer,소스 선택값
NTF-01,❌,NTF-01_04,스터디 활동 알림,NO,스터디 그룹 멤버가 노드를 완료했을 때 알림을 생성한다.,,알림 생성,,"조직 ID, 사용자 ID, 노드 ID"
FLW-01,❌,FLW-01_01,로드맵 팔로우,YES,로드맵을 팔로우하여 학습 목록에 추가한다.,,팔로우 관리,,"로드맵 ID, 사용자 ID"
AI-01,⚠️,AI-01_06,노드 주제 기반 자료 추천,YES,노드의 주제를 기반으로 학습 자료를 추천한다. (P0),,학습 자료 추천,,"노드 ID, 노드 주제"
FRK-02,❌,FRK-02_01,포크 트리 시각화,YES,원본 → 파생 → 파생의 파생으로 이어지는 계보를 트리 형태로 시각화한다.,,포크 트리,,로드맵 ID
TRK-01,❌,[삭제] TRK-01_03,[삭제] 노드별 메모 작성 → LRN으로 통합,YES,학습 노드에 개인 메모를 작성한다.,필요없음,진행도 관리,,"노드 ID, 사용자 ID, 메모 내용"
FRK-01,❌,FRK-01_02,포크 현황 공개,NO,"""이 로드맵 기반으로 N명이 학습 중"" 표시",,포크 기능,,로드맵 ID
SRC-02,❌,SRC-02_01,인기 로드맵 조회,,팔로우/포크 수 기준 인기 로드맵 목록을 조회한다.,,로드맵 탐색,,기간 필터
TRK-03,❌,TRK-03_02,학습 통계 조회,,"일별/주별 완료 노드 수, 연속 학습일 등 통계를 조회한다.",,학습 기록,,"사용자 ID, 기간 필터"
TRK-03,❌,TRK-03_01,학습 히스토리 저장,,노드 완료 일시를 기록하여 학습 히스토리를 저장한다.,,학습 기록,,"노드 ID, 사용자 ID, 완료 일시"
TRK-01,❌,TRK-01_02,노드 완료 취소,,완료된 노드를 미완료 상태로 변경한다.,,진행도 관리,,"노드 ID, 사용자 ID"
SRC-02,❌,SRC-02_03,카테고리별 탐색,,"프론트엔드, 백엔드, AI 등 카테고리별로 로드맵을 탐색한다.",,로드맵 탐색,,카테고리
NTF-03,❌,NTF-03_01,알림 유형별 On/Off,NO,"알림 유형(포크, 팔로우, 스터디 등)별로 수신 여부를 설정한다.",,알림 설정,,"사용자 ID, 설정값"
SRC-01,⚠️,SRC-01_01,키워드 검색,,"로드맵 제목, 설명, 태그를 기준으로 키워드 검색한다.",,로드맵 검색,,검색어
SRC-02,❌,SRC-02_04,추천 로드맵,,"사용자 관심사, 팔로우 기록 기반 로드맵 추천 (추후)",,로드맵 탐색,,사용자 ID
TRK-02,❌,TRK-02_02,섹션별 진행률 표시,,로드맵 내 섹션(그룹)별 진행률을 표시한다.,,진행도 시각화,,"로드맵 ID, 섹션 ID, 사용자 ID"
TAG-03,❌,TAG,기술 태그,,[PRF-03에 포함] 학습 기록 기반 프로필 기술스택 자동 연동. 완료한 노드 태그 수집.,,프로필 기술스택 자동 연동,,user_id
SRC-03,❌,SRC,검색,,"유저 이름, 기술스택 등으로 유저 검색. 기존 로드맵 검색에 추가.",,유저 검색,,"검색 키워드, 필터 조건"
SRC-01,❌,SRC-01_02,태그 필터링,,"기술 스택, 분야 등 태그로 로드맵을 필터링한다.",,로드맵 검색,,태그 목록
PRF-04,❌,PRF,프로필,NO,프로필 공개 범위 설정 (전체공개/링크공개/비공개).,,프로필 공개 설정,,"user_id, visibility"
FLW-02,❌,FLW-02_01,내 팔로우 목록 조회,YES,내가 팔로우한 로드맵 목록을 조회한다.,,팔로우 목록,,사용자 ID
AI-05,❌,AI,AI 기능,NO,학습 기록을 AI가 판단하여 피드백 제공. 강점/약점/개선점 분석.,,학습 기록 피드백,Viewer,"user_id, learning_records"
LRN-01,❌,LRN,학습 기록,NO,"노드 완료 시 학습 기록 생성. 프로젝트 링크, 메모, 학습 유형 포함.",,학습 기록 생성,,"user_id, node_id, completed_at, project_url, memo, learning_type"
FRK-02,❌,FRK-02_02,포크 트리 탐색,DON'T KNOW,포크 트리를 통해 관련 로드맵들을 탐색한다.,,포크 트리,,로드맵 ID
TRK-02,❌,TRK-02_01,전체 진행률 시각화,,로드맵 전체 진행률을 프로그레스 바로 표시한다.,,진행도 시각화,,"로드맵 ID, 사용자 ID"
FLW-01,❌,FLW-01_03,팔로우 수 표시,YES,로드맵의 총 팔로우 수를 표시한다.,,팔로우 관리,,로드맵 ID
CMT-01,❌,CMT,코멘트,YES,로드맵에 코멘트/피드백 작성.,,로드맵 코멘트 작성,Viewer,"roadmap_id, user_id, content"
REL-01,❌,[삭제] REL-01,[삭제] 완주 로드맵 프로필 표시 → PRF-03에 포함,YES,프로필에 완주한 로드맵 목록 표시.,필요없음,완주 로드맵 프로필 표시,,user_id
LRN-03,❌,LRN,학습 기록,YES,"학습 기록 수정. 프로젝트 링크, 메모 수정 가능.",,학습 기록 수정,,"record_id, 수정할 필드"
CMT-02,❌,CMT,코멘트,DON'T KNOW,로드맵별 코멘트 목록 조회.,,코멘트 조회,Viewer,roadmap_id
AI-03,❌,AI,AI 기능,YES,"유저의 학습 패턴 분석. 학습 시간대, 선호 기술, 학습 속도 등.",,학습 패턴 분석,,"user_id, learning_records"
PRF-07,❌,PRF,프로필,YES,내 팔로워 목록과 내가 팔로잉하는 유저 목록 조회.,,팔로워/팔로잉 목록 조회,,user_id
TRK-04,❌,[삭제] TRK-04,[삭제] 진행도 고도화 → LRN으로 통합,YES,"기존 진행도에 메모, 프로젝트 링크 필드 추가. 학습 기록과 연동.",필요없음,진행도 고도화,,"progress_id, memo, project_url"
TAG-01,❌,TAG,기술 태그,,"로드맵 및 노드별 기술 태그 설정. React, Spring 등 기술 스택 매핑.",,로드맵/노드 태그 설정,,"roadmap_id/node_id, tag_ids"
PRF-03,⚠️,PRF,프로필,YES,"연속 학습일, 완료 노드 수, 완주 로드맵 수, 기술스택 통계 표시.",,학습 통계 대시보드,,user_id
PRF-06,❌,PRF,프로필,YES,팔로우한 유저를 언팔로우하는 기능.,,유저 언팔로우,,"follower_id, following_id"
CMT-03,❌,CMT,코멘트,YES,내가 작성한 코멘트 수정 및 삭제.,,코멘트 수정/삭제,Viewer,comment_id
AI-04,❌,AI,AI 기능,NO,"학습 패턴 기반 다음 학습 콘텐츠 추천. 로드맵, 노드, 자료 추천.",,학습 추천,Viewer,user_id
PRF-05,❌,PRF,프로필,YES,다른 유저를 팔로우하는 기능. 개발자 브랜딩 및 네트워킹.,,유저 팔로우,,"follower_id, following_id"
RMR-02,❌,RMR-02_01,후속 로드맵 연결,,현재 로드맵의 후속 로드맵을 설정한다. '이 로드맵 완료 후 추천하는 로드맵' 표시.,,후속 로드맵 설정,,"roadmap_id, next_roadmap_id"
LRN-04,❌,LRN,학습 기록,NO,학습 기록 증빙 레벨 관리. 체크만/메모있음/링크있음/GitHub인증.,,증빙 레벨 관리,,"record_id, evidence_level"
REL-02,❌,[삭제] REL-02,[삭제] 학습 타임라인 조회 → LRN-02에 포함,NO,학습 여정을 시간순으로 시각화한 타임라인 조회.,필요없음,학습 타임라인 조회,,user_id
MEM-03,❌,MEM,사용자 인증,YES,GitHub OAuth 2.0을 통한 소셜 로그인 기능. 기존 Google 로그인에 추가.,,GitHub 소셜 로그인,,"GitHub access_token, user_id, email, avatar_url"
TAG-02,❌,TAG,기술 태그,,기술 태그로 로드맵 검색. 예: React 태그로 검색 시 관련 로드맵 목록.,,태그별 검색,,tag_id
LRN-02,❌,LRN,학습 기록,NO,내 학습 기록 목록 및 상세 조회. 타임라인 형태로 표시.,,학습 기록 조회,,user_id
,,,,,,,,,
RMR-01,❌,RMR-01_01,선행 로드맵 연결,,현재 로드맵의 선행 로드맵을 설정한다. '이 로드맵을 시작하기 전에 완료하면 좋은 로드맵' 표시.,,선행 로드맵 설정,,"roadmap_id, prerequisite_roadmap_id"
